id_credit,UNO,DOS,TRES,CUATRO,CINCO,SEIS,SIETE,OCHO,NUEVE,DIEZ,ONCE,DOCE,TRECE,CATORCE,QUINCE
1001506,Convenio Pago Parcial,Contacto con Tercero,Sin contacto (no atienden),Pago recibido,Sin contacto (no atienden),Promesa de Pago,,,,,,,,,
1001522,Contacto con Tercero,Pago recibido,Pago recibido,Sin contacto (no atienden),,,,,,,,,,,
1001553,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Promesa de Pago,,
1001569,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,,,
1001592,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,
1001663,Pago recibido,Promesa de Pago,,,,,,,,,,,,,
1001727,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1001765,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,,
1001780,Pago recibido,Promesa de Pago,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago
1001868,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1001871,Pago recibido,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago
1001887,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,,,,,
1001972,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,Sin contacto (no atienden),Sin contacto (no atienden),Contacto con Tercero
1002048,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1002051,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,,
1002089,Pago recibido,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,
1002095,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
1002106,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,,
1002112,Siniestro,Siniestro,Siniestro,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,
1002129,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,,
1002170,Contacto con Tercero,Promesa de Pago,Contacto con Tercero,Pago recibido,Promesa de Pago,,,,,,,,,,
1002216,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,
1002281,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,
1002286,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Convenio Pago Parcial,Contacto con Tercero,Sin contacto (no atienden),Pago recibido,Contacto con Tercero,Sin contacto (no atienden),Contacto con Tercero,Prestanombre,,,
1002347,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,
1002426,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Contacto con Tercero,Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,,,,,,,
1002440,Pago recibido,Promesa de Pago,Pago recibido,,,,,,,,,,,,
1002480,Promesa de Pago,Sin contacto (no atienden),Contacto con Tercero,,,,,,,,,,,,
1002584,Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Sin contacto (no atienden),Promesa de Pago,Pago recibido,
1002608,Promesa de Pago,Sin contacto (no atienden),Contacto con Tercero,Promesa de Pago,No contesta la llamada,No contesta la llamada,,,,,,,,,
1002657,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada,No contesta la llamada
1002664,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Cambio de Domicilio,Cambio de Domicilio,Sin contacto (no atienden),,,,
1002745,Promesa de Pago,,,,,,,,,,,,,,
1002789,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,
1002828,Pago recibido,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,No contesta la llamada,Promesa de Pago,No contesta la llamada,,,,,,,,
1002841,Pago recibido,Contacto con Tercero,Contacto con Tercero,Pago recibido,Promesa de Pago,,,,,,,,,,
1002862,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,,
1002911,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1002927,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1002929,Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Pago recibido,,,,,,,,
1002933,Pago recibido,,,,,,,,,,,,,,
1003042,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,,,,,,,,,,
1003100,Pago recibido,Promesa de Pago,No contesta la llamada,,,,,,,,,,,,
1003257,Pago recibido,Promesa de Pago,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,
1003352,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),,,,,,,,
1003438,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,,
1003483,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,
100353,Pago recibido,No contesta la llamada,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1003564,Pago recibido,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,Contacto con Tercero,,,,
1003614,Pago recibido,Contacto con Tercero,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Cambio de Domicilio,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1003772,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago
1003779,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,
1003935,Pago recibido,Pago recibido,,,,,,,,,,,,,
1004156,Pago recibido,,,,,,,,,,,,,,
1004271,Promesa de Pago,Pago recibido,Pago recibido,Contacto con Tercero,,,,,,,,,,,
1004304,Pago recibido,Promesa de Pago,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Sin contacto (no atienden),Contacto con Tercero,,,,,
1004305,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,,,,,,,,,,,
1004404,Pago recibido,Prestanombre,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago
1004432,Promesa de Pago,,,,,,,,,,,,,,
1004519,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),,,,,,
1004634,Pago recibido,Promesa de Pago,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,
1004740,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Promesa de Pago,Sin contacto (no atienden),,
1004778,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,
1004849,Pago recibido,,,,,,,,,,,,,,
1004901,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,
1004920,Promesa de Pago,Pago recibido,Sin contacto (no atienden),Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,,,,,,,
1005019,No contesta la llamada,Promesa de Pago,Contacto con Tercero,Pago recibido,,,,,,,,,,,
1005050,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
1005177,Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Cambio de Domicilio,Promesa de Pago,,,,,,,,
1005196,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Contacto con Tercero,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,
1005199,Convenio Pago Parcial,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,,,
1005206,Pago recibido,Contacto con Tercero,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,
1005285,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,
1005346,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,,,,,,,
1005371,Pago recibido,,,,,,,,,,,,,,
1005519,Promesa de Pago,Contacto con Tercero,,,,,,,,,,,,,
1005589,Pago recibido,Pago recibido,Promesa de Pago,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,
1005591,Pago recibido,,,,,,,,,,,,,,
1005633,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
1005672,Contacto con Tercero,Promesa de Pago,,,,,,,,,,,,,
10058,Pago recibido,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1005854,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,,,,
1005855,Pago recibido,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,
1006030,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,,,,,,,,,
1006313,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,
1006349,Pago recibido,Sin contacto (no atienden),Contacto con Tercero,,,,,,,,,,,,
1006416,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,
1006551,Pago recibido,Pago recibido,Pago recibido,Sin contacto (no atienden),Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,,,,,,,
1006588,Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden)
1006651,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,,,,,,,
1006686,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,,
1006779,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,,,,
1006818,Pago recibido,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,
1007116,Pago recibido,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,
1007213,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1007215,Pago recibido,Promesa de Pago,,,,,,,,,,,,,
1007407,Pago recibido,Contacto con Tercero,Promesa de Pago,,,,,,,,,,,,
1007422,Pago recibido,Pago recibido,Contacto con Tercero,Sin contacto (no atienden),,,,,,,,,,,
1007623,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido
1007648,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1007847,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,,
1007856,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Contacto con Tercero,Pago recibido,,,,,,,,,,
1007960,Contacto con Tercero,,,,,,,,,,,,,,
1008090,Pago recibido,Cambio de Domicilio,Cambio de Domicilio,Contacto con Tercero,Promesa de Pago,Pago recibido,No contesta la llamada,,,,,,,,
1008150,Pago No Identificado,Promesa de Pago,,,,,,,,,,,,,
1008164,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Sin contacto (no atienden),Sin contacto (no atienden),,
1008188,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,,
100828,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago
1008303,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido
1008531,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,
1008601,Pago recibido,Promesa de Pago,,,,,,,,,,,,,
1008665,Pago recibido,Pago recibido,,,,,,,,,,,,,
1008688,Pago recibido,Negativa de pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Pago recibido,Promesa de Pago,Contacto con Tercero,Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Pago recibido,Promesa de Pago
1008851,Cambio de Domicilio,Promesa de Pago,,,,,,,,,,,,,
1008873,Pago recibido,Sin contacto (no atienden),Contacto con Tercero,Pago recibido,,,,,,,,,,,
1008961,Pago recibido,Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),Promesa de Pago,Promesa de Pago,,,,,,,,,
1008989,Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),,,,,,,,,,,
1009123,Pago recibido,Pago recibido,Contacto con Tercero,Prestanombre,Prestanombre,Contacto con Tercero,Contacto con Tercero,Prestanombre,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),No contesta la llamada,No contesta la llamada,Promesa de Pago,Promesa de Pago
1009324,Pago recibido,Pago recibido,,,,,,,,,,,,,
1009480,Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,
1009560,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,,,,,,,,,,,
1009607,Pago recibido,,,,,,,,,,,,,,
1009642,Sin contacto (no atienden),Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Pago recibido,Promesa de Pago,Contacto con Tercero,Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),Contacto con Tercero
1009687,Pago recibido,,,,,,,,,,,,,,
1009820,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Sin contacto (no atienden),,,,,,,,,,,
1009826,Sin contacto (no atienden),,,,,,,,,,,,,,
1009883,Promesa de Pago,Promesa de Pago,Promesa de Pago,Cambio de Domicilio,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1009898,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,
1009922,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
1010006,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),,,,,,,,,,,,
1010022,Promesa de Pago,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,,
1010023,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Sin contacto (no atienden),,,,,,,,,,
1010085,Pago recibido,Pago recibido,Promesa de Pago,Pago recibido,,,,,,,,,,,
1010219,Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),Pago recibido,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Contacto con Tercero,Pago recibido,Contacto con Tercero,Sin contacto (no atienden),Pago recibido,Contacto con Tercero,
1010283,Pago recibido,,,,,,,,,,,,,,
1010288,Contacto con Tercero,Contacto con Tercero,Promesa de Pago,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),,,,,
1010380,Contacto con Tercero,,,,,,,,,,,,,,
1010466,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,,,,,,,,,
1010486,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
101057,Pago recibido,Promesa de Pago,Sin contacto (no atienden),Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Contacto con Tercero
1010573,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,
1010617,Pago recibido,Promesa de Pago,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,Contacto con Tercero,Promesa de Pago,Promesa de Pago,,,,
1010622,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,,,,,,,,,,
1010646,Moto recuperada,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,No contesta la llamada,Promesa de Pago,,,,,,,,,
1010743,No contesta la llamada,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,,,,,,
1011039,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1011048,Pago recibido,Pago recibido,Pago recibido,Negativa de pago,Pago recibido,,,,,,,,,,
1011142,Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,,
1011179,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Cambio de Domicilio,Cambio de Domicilio,Sin contacto (no atienden),,,,,,,,
1011263,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,,,,,,,,,,,
1011431,Pago recibido,Sin contacto (no atienden),Promesa de Pago,Sin contacto (no atienden),Pago recibido,Sin contacto (no atienden),Sin contacto (no atienden),Pago recibido,Contacto con Tercero,Negativa de pago,Contacto con Tercero,Sin contacto (no atienden),Sin contacto (no atienden),,
1011527,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,
1011530,Contacto con Tercero,,,,,,,,,,,,,,
1011547,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,,
1011661,Sin contacto (no atienden),Sin contacto (no atienden),Sin contacto (no atienden),,,,,,,,,,,,
1011695,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Promesa de Pago,Promesa de Pago,,,,,,,
1011767,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1011863,Pago recibido,Pago recibido,Pago recibido,,,,,,,,,,,,
1012216,Pago recibido,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero
1012320,Pago recibido,Pago recibido,Contacto con Tercero,Pago recibido,Promesa de Pago,Contacto con Tercero,Pago recibido,Promesa de Pago,Contacto con Tercero,Sin contacto (no atienden),,,,,
1012483,Pago recibido,Contacto con Tercero,,,,,,,,,,,,,
101253,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Pago recibido,Pago recibido,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago
1012625,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Promesa de Pago
1012783,Promesa de Pago,Pago recibido,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Contacto con Tercero,Pago recibido,Contacto con Tercero,,,,,,,
1013045,Pago recibido,Promesa de Pago,,,,,,,,,,,,,
1013068,Pago recibido,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,,,,,,,,,
1013224,Contacto con Tercero,,,,,,,,,,,,,,
101338,Ilocalizable,Sin contacto (no atienden),Contacto con Tercero,Contacto con Tercero,,,,,,,,,,,
1013441,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Pago recibido,Promesa de Pago,Promesa de Pago,Promesa de Pago
1013554,Contacto con Tercero,Pago recibido,,,,,,,,,,,,,
1013608,Pago recibido,,,,,,,,,,,,,,
